,local_timestamp,unix_timestamp,value,filtered_value
0,84.902642,1505150724.607785,1.2330909808332313,1.4581329768713711
1,84.905301,1505150724.6105049,1.2234837546040866,1.448507707102807
2,84.90795899999999,1505150724.613218,1.2139690645914711,1.438843395141908
3,84.910491,1505150724.615725,1.2045792463171032,1.4291445348511291
4,84.91315,1505150724.618371,1.1954066869858913,1.4194155276022045
5,84.915807,1505150724.620998,1.1863277069525544,1.4096606777821072
6,84.918466,1505150724.623631,1.177225183083128,1.3998841927627779
7,84.921126,1505150724.626415,1.1681351761898504,1.3900901881411458
8,84.923784,1505150724.628982,1.1591374074898606,1.3802826984825272
9,84.92644299999999,1505150724.6316328,1.1501983493684738,1.3704656925863872
10,84.929103,1505150724.634294,1.1415351117572254,1.3606430914536782
11,84.93176,1505150724.636866,1.133003749430403,1.350818787249434
12,84.93442,1505150724.6396701,1.1243877485029548,1.3409966623982283
13,84.937079,1505150724.6422741,1.1158131728060945,1.3311806086325852
14,84.939737,1505150724.644897,1.1073253218725516,1.3213745455157675
15,84.942397,1505150724.647568,1.0989103376215898,1.3115824369773101
16,84.94505699999999,1505150724.650329,1.0906157547602506,1.3018083038187445
17,84.94771399999999,1505150724.652875,1.082496707588238,1.2920562304748548
18,84.950373,1505150724.655562,1.0743797465789167,1.2823303652206395
19,84.953032,1505150724.6582022,1.0661426822032143,1.2726349138903508
20,84.955691,1505150724.660831,1.0579357181749176,1.262974127387256
21,84.958349,1505150724.663486,1.04984304605979,1.253352282665179
22,84.96100899999999,1505150724.6662002,1.041898342484137,1.2437736562973585
23,84.963667,1505150724.668842,1.0341527184338999,1.2342424902301212
24,84.96619799999999,1505150724.671322,1.0264327243824436,1.2247629508257964
25,84.968856,1505150724.674056,1.0186507414967263,1.2153390838172329
26,84.971516,1505150724.67665,1.0108656293669718,1.2059747682635695
27,84.97417399999999,1505150724.6793149,1.0031915308947283,1.1966736717942914
28,84.976832,1505150724.6819992,0.9955704805594969,1.1874392082122238
29,84.979492,1505150724.684662,0.9882133298047382,1.1782744979776312
30,84.982151,1505150724.687315,0.9809241283490734,1.1691823325188628
31,84.984809,1505150724.689945,0.9736154063710812,1.1601651441791627
32,84.98746799999999,1505150724.6926022,0.966332463403491,1.1512249840206632
33,84.990127,1505150724.695265,0.9591311788041103,1.1423635090878392
34,84.992785,1505150724.6979048,0.9519905419344032,1.1335819794633684
35,84.99544499999999,1505150724.700599,0.945003536045762,1.1248812644555013
36,84.998104,1505150724.703229,0.9381786548005733,1.1162618570039988
37,85.000762,1505150724.705908,0.9313047487321346,1.1077238956854476
38,85.003421,1505150724.7086,0.9243158056924228,1.0992671939460554
39,85.006081,1505150724.711204,0.9173587511395663,1.0908912756985896
40,85.00874,1505150724.7138402,0.9105185216974331,1.082595415187786
41,85.011399,1505150724.716602,0.9037940742846772,1.0743786780964264
42,85.014059,1505150724.719197,0.8972664712230248,1.066239961200525
43,85.016716,1505150724.721853,0.8907814854849271,1.0581780292966643
44,85.019375,1505150724.7245781,0.8841516604513919,1.0501915495842356
45,85.022035,1505150724.7271612,0.8776285277383642,1.0422791241895335
46,85.024565,1505150724.729671,0.8711915237421706,1.0344393208851443
47,85.02722399999999,1505150724.732373,0.8648486950903354,1.02667070120913
48,85.029882,1505150724.73502,0.8587417518342585,1.0189718451578003
49,85.032541,1505150724.737653,0.8527461202589345,1.0113413724719542
50,85.0352,1505150724.740354,0.8466378358982704,1.0037779615797062
51,85.037857,1505150724.7429912,0.8405299985724687,0.996280367649295
52,85.040517,1505150724.7456121,0.8344690999072254,0.9888474404188461
53,85.043176,1505150724.7484019,0.8285253243759468,0.9814781410332848
54,85.045833,1505150724.750986,0.8227547003480613,0.974171556283643
55,85.048492,1505150724.7536151,0.8170666287581103,0.966926909030549
56,85.05115099999999,1505150724.7563121,0.8113961405394161,0.9597435646910604
57,85.053809,1505150724.758997,0.8056864622644462,0.9526210344941158
58,85.056468,1505150724.7615738,0.8000506937534031,0.9455589761543182
59,85.05912699999999,1505150724.764259,0.7944675263445095,0.9385571919087266
60,85.061784,1505150724.766953,0.7890595966017006,0.9316156233070996
61,85.064444,1505150724.7696729,0.7837735583647226,0.924734342323942
62,85.067103,1505150724.772272,0.7784867750696406,0.9179135391655823
63,85.06976,1505150724.774915,0.7731493278234797,0.9111535078996497
64,85.07242,1505150724.7775419,0.7678966681895655,0.9044546310362285
65,85.075079,1505150724.780224,0.7627733506425232,0.8978173634791414
66,85.077737,1505150724.782965,0.757805899250859,0.8912422157039352
67,85.080269,1505150724.785419,0.7530515344769677,0.884729736314107
68,85.082927,1505150724.788075,0.7483283131318279,0.8782804950841759
69,85.08558599999999,1505150724.7907689,0.7435518946380553,0.8718950683903106
70,85.088246,1505150724.7933598,0.7387903773063647,0.8655740287550605
71,85.090904,1505150724.796038,0.7340820571233068,0.8593179389757603
72,85.093563,1505150724.798731,0.7294445174601386,0.8531273497817481
73,85.096222,1505150724.801378,0.7250184252869144,0.8470027991913855
74,85.098879,1505150724.8041139,0.7206346524140032,0.8409448120468609
75,85.101539,1505150724.806649,0.7161829302419979,0.8349538991260874
76,85.104198,1505150724.80933,0.7117031938852784,0.8290305558619293
77,85.106856,1505150724.8120031,0.7072619025267305,0.823175260420339
78,85.10951399999999,1505150724.814647,0.7029626192428242,0.8173884701068668
79,85.112174,1505150724.8173451,0.6988025128127642,0.811670614833578
80,85.11483199999999,1505150724.819975,0.6947715994579553,0.80602208719
81,85.117491,1505150724.8225951,0.690707903546566,0.8004432300169939
